,Bug_No,Topics,Text
102,102,"0 0.2194805194805195, 5 0.1821067821067821, 4 0.16493506493506493, 2 0.1255411255411255, 6 0.12049062049062047, 3 0.11139971139971139, 1 0.07604617604617601","there is a bug in typeutils.equals(wilcardtype, type). it returns true if the other type is not a wildcardtype, it should return false. see typeutils@1629 for v3.3.2 and typeutils@791 for v3.4bug can be seen with the following test:{code}@test public void shouldhandleequalityofparameterizedtypeswithwildcards() throws exception { // given: class sometype { collection<?> field; } final parameterizedtype wildcardcollectiontype = (parameterizedtype) sometype.class.getdeclaredfield(""field"").getgenerictype(); final wildcardtype wildcard = (wildcardtype) wildcardcollectiontype.getactualtypearguments()[0]; final parameterizedtype ptwithwildcard = typeutils.parameterize(collection.class, wildcard); final parameterizedtype otherpt = typeutils.parameterize(collection.class, string.class); // then: assertthat(otherpt, is(not(equalto(ptwithwildcard)))); // passes assertthat(ptwithwildcard, is(not(equalto(otherpt)))); // fails }{code} "
103,103,"1 0.2753456221198157, 2 0.19380440348182282, 0 0.16423451100870454, 5 0.10867895545314898, 4 0.10778289810547872, 6 0.07642089093701994, 3 0.07373271889400919","unit test for testlang530 fails when the isodatestr comes out with just a z instead of +00:00.{code}tests run: 38, failures: 0, errors: 1, skipped: 0, time elapsed: 0.014 sec <<< failure! - in org.apache.commons.lang3.time.dateutilstesttestlang530(org.apache.commons.lang3.time.dateutilstest) time elapsed: 0.005 sec <<< error!java.text.parseexception: unable to parse the date: 2015-04-17t18:51:52z at org.apache.commons.lang3.time.dateutils.parsedatewithleniency(dateutils.java:401) at org.apache.commons.lang3.time.dateutils.parsedate(dateutils.java:301) at org.apache.commons.lang3.time.dateutils.parsedate(dateutils.java:278) at org.apache.commons.lang3.time.dateutilstest.testlang530(dateutilstest.java:1222){code}on a linux machine where this test passes, isodatestr is 2015-04-17t19:26:03+00:00. "
104,104,"4 0.18708994708994708, 2 0.1619047619047619, 1 0.14857142857142858, 3 0.14857142857142858, 0 0.13523809523809524, 6 0.11005291005291004, 5 0.10857142857142857","unlike what is said in javadoc comment, when passing a negative repeat value to the *stringutils.repeat(char, int)* function, it doesnt return an empty string but throws a _negativearraysizeexception_.see pr #72 : https://github.com/apache/commons-lang/pull/72 "
105,105,"1 0.18764948901935205, 4 0.16634050880626225, 0 0.14046531854751032, 3 0.13894324853228962, 6 0.13742117851706892, 2 0.11763426831919983, 5 0.11154598825831703","{code}import org.apache.commons.lang3.stringutils;public class main { public static void main(string[] args) { system.out.println(stringutils.stripaccents(""ĄŁÓŚŻŹĆŃ ąłóśżźćń"")); }}{code} "
106,106,"4 0.2281545614878948, 1 0.1922398589065256, 2 0.16418149751483083, 3 0.13836780503447169, 6 0.10245310245310243, 0 0.0945967612634279, 5 0.08000641333974666",following the discussion at https://github.com/apache/commons-lang/pull/47 we need to decide how malformed inputs should be handled by the swap method. we have to handle several forms of malformed inputs and we should decide how to do that based on the current behavior of arrayutils. malformed inputs are:# array == null# array.length == 0# offset1 < 0# offset2 < 0# len < 0# offset1 > offset2# offset1 > array.length# offset2 > array.length# offset1 + len > array.length# offset2 + len > array.length 
107,107,"4 0.2187153931339978, 3 0.20191952750092285, 0 0.14119601328903653, 2 0.13344407530454042, 1 0.12310815799187891, 6 0.09726836471022515, 5 0.08434846806939832","placeholder for https://github.com/apache/commons-lang/pull/74{quote}except number, boolean, array and nested object structures, other types like char, string, date etc. in java should be appendasstring.add method {{appenddetail(stringbuffer buffer, string fieldname, char value) to jsontostringstyle}}modify {{appenddetail(stringbuffer buffer, string fieldname, object value)}}{quote} "
108,108,"3 0.20820449391877968, 2 0.14471243042671614, 4 0.1432694289837147, 0 0.14182642754071326, 5 0.13172541743970315, 6 0.12306740878169449, 1 0.10719439290867862",the following test will fail because the {{equals(strbuilder)}} overload in {{strbuilder}} does not check for null inputs:{code:java} @test public void testequalswithnullstrbuilder() throws exception { final strbuilder sb = new strbuilder(); final strbuilder other = null; assertfalse(sb.equals(other)); }{code} 
109,109,"1 0.2657329598506069, 2 0.15331465919701212, 4 0.1415499533146592, 0 0.12324929971988793, 3 0.12063492063492061, 6 0.10756302521008401, 5 0.08795518207282915","placeholder for https://github.com/apache/commons-lang/pull/85{quote}as described in its [javadoc|http://commons.apache.org/proper/commons-lang/javadocs/api-release/org/apache/commons/lang3/builder/reflectiontostringbuilder.html#reflectiontostringbuilder(java.lang.object)], reflectiontostringbuilder constructor will throw illegalargumentexception if the object to build a tostringfor is null, while in fact it wont.{quote} "
110,110,"2 0.18602400309717385, 1 0.18466898954703834, 0 0.1670538133952768, 6 0.13317847464188926, 4 0.12233836624080525, 3 0.11420828493999224, 5 0.09252806813782426",fastdateparser_timezonestrategytest#testtimezonestrategypattern() on current master fails:{quote}java.lang.assertionerror: französisch:heure deurope de lest utc+3 at org.junit.assert.fail(assert.java:88) at org.junit.assert.asserttrue(assert.java:41) at org.apache.commons.lang3.time.fastdateparser_timezonestrategytest.testtimezonestrategypattern(fastdateparser_timezonestrategytest.java:39){quote}im unsure why. i guess it has something to do with my german locale and maybe windows too. 
111,111,"4 0.21937705899970053, 2 0.2078466606768494, 3 0.16172506738544476, 0 0.11665169212339023, 5 0.11455525606469001, 6 0.10302485774183887, 1 0.07681940700808625","the capitalize javadoc says the code uses character#totitlecase, however the code actually uses character#touppercase.generally these produce the same result, but some charsets may have different characters for upper and title case - see for example the javadoc [1] for character#istitlecase.the way i read this, the character that looks like ""lj"" is lower-case, ""lj"" is upper case and ""lj"" is title case - i.e. not the same.the question here is: should the code be corrected to use titlecase or should the javadoc be corrected to use uppercase?[1] http://docs.oracle.com/javase/7/docs/api/java/lang/character.html#istitlecase%28char%29 "
112,112,"2 0.1819879466938291, 3 0.17485782191664548, 1 0.14277226041931926, 6 0.13861302096596215, 0 0.13504795857737034, 4 0.12970036499448265, 5 0.09702062643239114","it is possible to create a construct, that allows multiple calls of lazyinitializer.initialize, when calculations (which can be very expensive) return null as result. in the javadoc is described that the initialize method will be called only on the first access{code:java} /** * creates and initializes the object managed by this {@code * lazyinitializer}. this method is called by {@link #get()} when the object * is accessed for the first time. an implementation can focus on the * creation of the object. no synchronization is needed, as this is already * handled by {@code get()}. * * @return the managed data object * @throws concurrentexception if an error occurs during object creation */ protected abstract t initialize() throws concurrentexception;{code}the junit test can be something like this:*(fix can be appplied from attached patch-file)*{code:java}package edu.test;import static org.junit.assert.assertequals;import org.apache.commons.lang3.concurrent.concurrentexception;import org.apache.commons.lang3.concurrent.lazyinitializer;import org.junit.test;public class lazyinitializertest { private int lazyinitcounter = 0; private lazyinitializer<object> lazyiinit = new lazyinitializer<object>() { @override protected object initialize() throws concurrentexception { lazyinitcounter++; return dosomeveryexpensiveoperations(); } }; private object dosomeveryexpensiveoperations() { // do db calls // do some complex math calculations // the result of them all is null return null; } @test public void testinitialization() throws exception { lazyiinit.get(); lazyiinit.get(); assertequals(""multiple call of lazyinitializer#initialize"", 1, lazyinitcounter); }}{code} "
113,113,"2 0.24801587301587302, 4 0.17625661375661375, 0 0.17278439153439154, 1 0.11954365079365077, 3 0.10796957671957672, 6 0.10102513227513225, 5 0.07440476190476192","in *enumutils* all _bitvector_ related methods fail in handling enums with more than 32 values.this is due to a implicit _int_ -> _long_ conversion in generating the enum value _long_ mask.*bad code :* here *1* is an _int_ value so the *<<* operation is done into an _int_ context and then, the result is converted to a _long_ value{code}long mask = 1 << 32; // -> mask = 1 and not 4294967296 (0x100000000){code}*good code :* here *1l* is a _long_ value so the *<<* operation is done into an _long_ context{code}long mask = 1l << 32; // -> mask = 4294967296 (0x100000000){code}see pr#97 : https://github.com/apache/commons-lang/pull/97 "
114,114,"0 0.19122315592903827, 2 0.18730158730158733, 3 0.16638655462184873, 4 0.15592903828197946, 1 0.11671335200746963, 6 0.09710550887021473, 5 0.08534080298786183","from the commons user mailing list:{quote}stringutils.equals(cs1,cs2) delegates to charsequence.regionmatches(...) in a way that causes indexoutofbounds when either of cs1/cs2 isnt a string.specifically, comparing ""foo"" and ""foobar"" for non-string charsequences bombs due to charsequenceutils.regionmatches(cs1, false, 0, cs2, 0, math.max(cs1.length(), cs2.length())) because regionmatches doesnt check for input exhaustion.{quote} "
115,115,"0 0.21924603174603174, 3 0.14285714285714285, 5 0.14112103174603174, 1 0.12896825396825395, 2 0.12723214285714285, 4 0.12549603174603174, 6 0.1150793650793651",there are no tests for charsequenceutils.regionmatches.it ought to behave the same way as the string version.this includes not failing with index oobe if the charsequences are not long enough. 
116,116,"3 0.19246031746031741, 0 0.1878306878306878, 4 0.185515873015873, 2 0.15889550264550262, 6 0.1264880952380952, 1 0.07440476190476189, 5 0.07440476190476189","the method arrayutils.removeall(object array, int... indices) currently sorts the input indices array. therefore the array needs to be cloned; this is currently done by the callers.however the sort is an implementation detail of the method, so should be done by the method itself, not by the callers, which is fragile (easy to overlook when creating a new method) and unnecessary.this would also allow the method to be more easily changed to a different implementation that does not need to sort the array (e.g. using bitset) "
117,117,"4 0.2124358515335959, 0 0.16565222580260175, 1 0.14309583482515814, 3 0.12972908461630267, 5 0.12972908461630267, 6 0.12722281895214227, 2 0.09213509965389664","{code:java}import static org.apache.commons.lang3.reflect.typeutils.*;import java.lang.reflect.invocationtargetexception;import java.lang.reflect.type;import java.util.arraylist;public class demonstration { public static <u> iterable<u> somemethod() { return null; } public static class workingclass extends arraylist { } public static class failingclass extends arraylist<object> { } public static void main(string[] args) throws nosuchmethodexception, securityexception, illegalaccessexception, illegalargumentexception, invocationtargetexception { type fromtype = demonstration.class.getdeclaredmethod(""somemethod"").getgenericreturntype(); type workingtotype = wildcardtype().withlowerbounds(workingclass.class).build(); type failingtotype = wildcardtype().withlowerbounds(failingclass.class).build(); system.out.println(fromtype); system.out.println(workingtotype); system.out.println(failingtotype); system.out.println(isassignable(fromtype, workingtotype)); system.out.println(isassignable(fromtype, failingtotype)); }}{code} "
118,118,"1 0.2527539248850725, 0 0.1829300026021338, 2 0.17200104085349988, 3 0.1228207129846474, 6 0.09792696677942579, 4 0.0936768149882904, 5 0.07789053690693035","the java simpledateformat supports two year-components, y for normal year and y for week year, see http://docs.oracle.com/javase/7/docs/api/java/text/simpledateformat.htmlhowever when we try to use fastdateformat to parse a format which uses the week-year, it fails with an exception{noformat}java.lang.illegalargumentexception: illegal pattern component: yyyy at org.apache.commons.lang3.time.fastdateprinter.parsepattern(fastdateprinter.java:282) at org.apache.commons.lang3.time.fastdateprinter.init(fastdateprinter.java:149) at org.apache.commons.lang3.time.fastdateprinter.<init>(fastdateprinter.java:142) at org.apache.commons.lang3.time.fastdateformat.<init>(fastdateformat.java:384) at org.apache.commons.lang3.time.fastdateformat.<init>(fastdateformat.java:369) at org.apache.commons.lang3.time.fastdateformat$1.createinstance(fastdateformat.java:91) at org.apache.commons.lang3.time.fastdateformat$1.createinstance(fastdateformat.java:88) at org.apache.commons.lang3.time.formatcache.getinstance(formatcache.java:82) at org.apache.commons.lang3.time.fastdateformat.getinstance(fastdateformat.java:119){noformat}simple unit test to reproduce this:{code} @test public void testcommonslang() { date date = new date(); format dateformat = new simpledateformat(""yyyy""); assertnotnull(dateformat.format(date)); dateformat = fastdateformat.getinstance(""yyyy""); assertnotnull(dateformat.format(date)); }{code} "
119,119,"0 0.25215993570423956, 1 0.16636528028933092, 4 0.13964235483222823, 2 0.12979706650592726, 5 0.11573236889692584, 3 0.10588708057062486, 6 0.09041591320072336","in apache commons lang 3.4, stringutils.ordinalindexof(""abc"", ""ab"", 1) gives incorrect answer of -1 (correct answer should be 0)。but stringutils.ordinalindexof(""abc"", ""a"", 1) gives correct answer of 0.based on the above mentioned observation, the bug occurrs if the searchstr is of length > 1, and locates at the index 0 of the str.in apache commons lang 2.6, this bug is not observed. "
120,120,"4 0.2225495009000164, 2 0.17443953526427758, 1 0.16069383079692362, 0 0.1309114711176567, 3 0.12747504500081822, 6 0.09883816069383079, 5 0.08509245622647685","the current implementation of stringutils.getjarowinklerdistance() does not compute the correct result in some cases. see #lang-944 for the initial code contribution.stringutils.getjarowinklerdistance(""haus ingeborg"", ""ingeborg esser"") == 0.0this is due to the incorrect computation of common characters, which causes the algorithm to exit prematurely.in contrast, the implementation in lucene gives ~0.63, which is about right. jarowinklerdistance d = new jarowinklerdistance(); getdistance(""haus ingeborg"", ""ingeborg esser"");see https://lucene.apache.org/core/3_0_3/api/contrib-spellchecker/org/apache/lucene/search/spell/jarowinklerdistance.html "
121,121,"2 0.15571975916803507, 1 0.1423097974822113, 0 0.14039408866995076, 3 0.14039408866995076, 4 0.14039408866995076, 5 0.14039408866995076, 6 0.14039408866995076","lang-799 added support for specifying a locale, but parsedatestrictly() doesn\t pass it to the final parsedatewithleniency() method. "
122,122,"4 0.17518389469608983, 0 0.1616337591947348, 3 0.1480836236933798, 6 0.14401858304297327, 5 0.13724351529229578, 2 0.12098335269066975, 1 0.11285327138985675","the {{numberutils.createnumber()}} method fails to check for multiple trailing characters, and as a result, it returns a value even though {{numberutils.isnumber()}} indicates that it should not. for example:{code}boolean isnumber = numberutils.isnumber(""81.5514dd""); // returns falsenumber numvalue = numberutils.createnumber(""81.5514dd""); // returns a double value, 81.5514{code}i would expect the {{createnumber()}} method to throw a {{numberformatexception}} in this case. "
123,123,"4 0.20398217766638818, 1 0.19423558897243107, 6 0.170843776106934, 2 0.11626287942077412, 3 0.113338902812587, 0 0.11041492620439987, 5 0.09092174881648564","classutils.getclass(classutils.class.getclassloader(), ""void"") throws ""classnotfoundexception: [v"".root cause: classutils contains an abbreviationmap for use in dealing with abbreviated primitive types like ""[i"" and ""[j"". however, [this commit|https://git-wip-us.apache.org/repos/asf?p=commons-lang.git;a=blobdiff;f=src/main/java/org/apache/commons/lang3/classutils.java;h=c15636ed99af1913d8436a2761d2e3e45b0c8b1a;hp=2492182dd6a383bbec970be3c58799bf89929ccf;hb=1d6ab5b8c0bcc69fe5984b882374e856ec198d0e;hpb=609319df2216e00d8f158e5fc5ce7756134b7cb0] introduces a ""void -> v"" mapping for ""completeness"".this seems wholly erroneous, since the maps are used only for [primitive array abbreviations|http://docs.oracle.com/javase/6/docs/api/java/lang/class.html#getname%28%29], and ""void/v"" is not among them. "
124,124,"0 0.3490529867341461, 2 0.18372824169925625, 3 0.1279043018173453, 6 0.12575722720650256, 5 0.0865731155586228, 4 0.08335250364235872, 1 0.04363162334176826","fastdateformat cant properly parse dates with daylight saving in the ""z"" pattern. it always returns date without daylight saving. test case:{code:java} simpledateformat format = new simpledateformat(""dd.mm.yyyy hh:mm:ss z"", locale.germany); date d1 = format.parse(""26.10.2014 02:00:00 mesz""); date d2 = format.parse(""26.10.2014 02:00:00 mez""); system.out.println(d1); system.out.println(d2); fastdateformat formatt = fastdateformat.getinstance(""dd.mm.yyyy hh:mm:ss z"", locale.germany); date d3 = formatt.parse(""26.10.2014 02:00:00 mesz""); date d4 = formatt.parse(""26.10.2014 02:00:00 mez""); system.out.println(d3); system.out.println(d4); {code}returns:sdf: sun oct 26 02:00:00 cest 2014sdf: sun oct 26 02:00:00 cet 2014fdf: sun oct 26 02:00:00 cet 2014fdf: sun oct 26 02:00:00 cet 2014fastdateformat returns the same date, which is wrong.bug is in the fastdateparser.timezonestrategy.setcalendar:{code:java}@override void setcalendar(final fastdateparser parser, final calendar cal, final string value) { timezone tz; if(value.charat(0)==+ || value.charat(0)==-) { tz= timezone.gettimezone(""gmt""+value); } else if(value.startswith(""gmt"")) { tz= timezone.gettimezone(value); } else { tz= tznames.get(value); if(tz==null) { throw new illegalargumentexception(value + "" is not a supported timezone name""); } } cal.settimezone(tz); }{code}its not enough to just call: cal.settimezone.if zone names in standard and daylight time are different, you have to check the name in dateformatsymbols.getinstance(locale).getzonestrings(); and if its >= 3, you have to activate daylight mode.just like simpledateformat does it:{code:java}1491 // (abbreviation) for both standard and daylight time,1492 // let the time zone in the calendar decide which one.1493 if (!usesamename) {1494 calendar.set(calendar.zone_offset, tz.getrawoffset());1495 calendar.set(calendar.dst_offset,1496 j >= 3 ? tz.getdstsavings() : 0);1497 }{code} "
125,125,"3 0.20013802622498272, 4 0.16149068322981366, 0 0.14860823556475727, 6 0.14860823556475727, 2 0.13411548194156886, 1 0.10351966873706006, 5 0.10351966873706006","these work with 3.3.2, but fail with 3.4:{code}assertequals(""b"", stringutils.normalizespace(""\u0000b""));assertequals(""b"", stringutils.normalizespace(""b\u0000""));{code}java doc still says ""... additionally #trim(string)} removes control characters (char <= 32) from both ends of this string. "
126,126,"3 0.20679633355689694, 2 0.19740666219539457, 4 0.1629778672032193, 1 0.12933154482450257, 0 0.12541918175720992, 6 0.12072434607645875, 5 0.05734406438631789","we observed a severe performance regression in hashcodebuilder in 3.5 trunk compared to 3.4 release. we get about 20% of the throughput in 3.5 trunk for common cases compared to 3.4 release. previously there was no noticeable overhead of using hashcodebuilder. investigating we found the performance degradation was caused by the fix for lang-456. it causes the method to be too large to be inlined and escape analysis to fail (see lang-1218 for a related discussion).we currently do not see a way to keep the 3.4 performance and support cyclic graphs. the append methods have not supported cycles for so long we feel its de facto part of the contract by now. since neither the jdk nor the guava hashcode helper methods support cyclic graphs we dont believe this is an unreasonable assumption. in addition equalsbuilder#append(object,object) doesnt support cycles.if supporting cycles is a requirement we propose the introduction of new #appendrecursive (or named differently) methods to both hashcodebuilder and equalsbuilder that add cycle guards. if that is an acceptable compromise we would be willing to provide patches. "
127,127,"0 0.2379482657260435, 3 0.19576719576719576, 2 0.15255731922398588, 4 0.14947089947089945, 5 0.08980011757789534, 1 0.0887713109935332, 6 0.08568489124044677","were running into contention issues in registry lookup in equalsbuilder and hashcodebuilder. we believe the synchronization for the registry lookup is unnecessary. threadlocals are thread safe, each thread gets own value. therefore no other thread can read or change the value of the current thread. as a consequence access to threadlocals does not need to be synchronized.since idkey uses object identity and the identity hashcode it does use neither equalsbuilder nor hashcodebuilder. this means that recursive calls to register and unregister are not possible even if the registered objects use equalsbuilder or hashcodebuilder. this also makes re-reading redundant.the issue was likely introduced in 2.5 by lang-586 but 2.6 is the oldest version we can select. "
128,128,"3 0.20611229566453448, 1 0.16631130063965885, 4 0.13977730395640842, 2 0.13646055437100213, 6 0.12319355602937693, 0 0.12153518123667377, 5 0.10660980810234545","the other append methods throw an illegalargumentexception if fieldname is null. so, append(object) and append(object[]) should also do this.source: [https://github.com/apache/commons-lang/pull/121] "
129,129,"3 0.18509550712940545, 1 0.1606133979015335, 4 0.14178100618778586, 2 0.1361312886736616, 6 0.1342480495022868, 0 0.12106537530266348, 5 0.12106537530266348","add back method java.lang.stringbuffer applyrules(java.util.calendar, java.lang.stringbuffer) "
130,130,"0 0.17910767910767914, 1 0.15358215358215357, 2 0.15358215358215357, 4 0.15358215358215357, 3 0.13406263406263405, 6 0.11604461604461609, 5 0.11003861003861004",when the code was migrated from stringbuffer to appendable in lang-1152.weve lost the ability to modify the buffer (setcharat) the new implementation of appendfulldigits allocate a temporary char array to work around that limitation.this is a major source of memory allocation which is not present in version 3.4. 
131,131,"1 0.1841269841269841, 0 0.17523809523809522, 4 0.13968253968253969, 3 0.13375661375661374, 6 0.13375661375661374, 2 0.1219047619047619, 5 0.11153439153439153","in considering the issues lang-1060, lang-1040, lang-1038, and lang-992, it seems that there are times when {{numberutils.isnumber}} resolves to {{false}} while {{numberutils.createnumber}}, given the same input, does not throw an exception, returning a valid {{java.lang.number}}. this inconsistency should be resolved either by making {{isnumber}} more lenient or {{createnumber}} more stringent. "
132,132,"4 0.26609595148920995, 3 0.16497235598359192, 6 0.15186374175138218, 0 0.14811842339932224, 2 0.12377385411093274, 5 0.08819332976636345, 1 0.05698234349919741","arrayutils.contains(object[] array, object objecttofind) wrongly returns false.steps to reproduce=========================================================-create a superclass ""parent"" and override equals and hashcode based on some member id variable.-create a class ""child"" extending ""parent"". do not override equals nor hashcode.-let ""childrens"" be an array of type child[] containing several instances.create an instance of parent ""p"" with the same id as childrens[0], such that childrens[0].equals(p) returns true and p.equals(childrens[0]) returns true as well.because they are equals, arrayutils.contains(childrens, p) should return true. however it returns false.where the bug is located=====================================================-go to arrayutils.class, line 1917. in the ""indexof"" method implementation, before going into calling equals for each element of the input array, there is some sort of optimization check to make sure the instance to be found is an instance of the array type:} else if (array.getclass().getcomponenttype().isinstance(objecttofind)) {that line is wrong. in our case, the array contains elements of type ""child"", whereas the object to be found is of type ""parent"". they are equals according to the equals implementation of ""parent"", but obviously children.class.isinstance(p) is false.expected behavior================================================since the method signature accepts an array of object[] and an instance of object, it should ignore the classes of the arguments. it should be possible to call ""arrayutils.contains(child[] children, parent p)"", in fact it should be possible to do this with any combination of classes, not only the ones assignable from the class hierarchy. "
133,133,"4 0.2054043839758126, 3 0.19217687074829937, 0 0.14455782312925172, 2 0.1207482993197279, 6 0.11810279667422525, 5 0.11016628873771732, 1 0.108843537414966","issue is the same as in lang-1218: comparetobuilder.append(object,object,comparator) is quite big, due to in-place arrays processing, and thus breaching inlining threshold (325 bytecodes):{noformat}....o.a.c.l.b.comparetobuilder::append (346 bytes) hot method too big....{noformat}this prevents comparetobuilder object itself from being scalarized.fix may be the same, as in lang-1218: extract arrays processing into separate method. "
134,134,"3 0.21038961038961043, 0 0.20028860028860032, 4 0.13463203463203466, 2 0.1295815295815296, 6 0.1295815295815296, 5 0.1113997113997114, 1 0.08412698412698412","the name of the method stringutils::getjarowinklerdistance is misleading.currently for equal strings {{1}} is returned, for completely different strings {{0}} is returned. that is a measure of similarity, not of a distance. a distance must be {{0}} for equal strings. i read on the issues lang-591 and lang-944, that it was decided to have a similar name to stringutils::getlevenshteindistance, but that requires also the change of the methods result.could you please (1) rename the method to stringutils::getjarowinklersimilarity or (2) change the method to return {{1 - currentresult}}?first option has the disadvantage to lose the similar naming of the similar methods, second option implies the risk to unnoticed introduce bugs in depending code. so i think it is preferable to use the first option. "
135,135,"0 0.16359447004608296, 2 0.16359447004608296, 4 0.14746543778801843, 5 0.14746543778801843, 3 0.13133640552995393, 6 0.13133640552995393, 1 0.11520737327188946","an empty array does not contain any empty/blank charsequences, so isanyempty/isanyblank should return false for an empty array. "
136,136,"1 0.3058730158730159, 3 0.1580952380952381, 4 0.1580952380952381, 2 0.11031746031746029, 0 0.10698412698412697, 6 0.08920634920634918, 5 0.07142857142857144","there is a bug in replace for strbuilder, seems the use of nonupdated buffer and character count is off.new strbuilder(""dear x, hello x."").replaceall(strmatcher.stringmatcher(""x""), ""012345678901234567"");yields{noformat}java.lang.arrayindexoutofboundsexception: 49 at org.apache.commons.lang3.text.strmatcher$stringmatcher.ismatch(strmatcher.java:372) at org.apache.commons.lang3.text.strbuilder.replaceimpl(strbuilder.java:2115) at org.apache.commons.lang3.text.strbuilder.replace(strbuilder.java:2088) at org.apache.commons.lang3.text.strbuilder.replaceall(strbuilder.java:2049){noformat} "
137,137,"1 0.42337840485988637, 2 0.15931804820693712, 3 0.12845385067607293, 6 0.09484616892024302, 0 0.08524397413286303, 5 0.055751518714481675, 4 0.05300803448951598","it seems that after lang-1186 was fixed, and before 3.5 went out, the bug was re-introduced.one of my customers is getting the following error (i am actually not able to reproduce it) with 3.5:{code}java.lang.nullpointerexception at org.apache.commons.lang3.time.fastdateparser$timezonestrategy.<init>(fastdateparser.java:869) at org.apache.commons.lang3.time.fastdateparser.getlocalespecificstrategy(fastdateparser.java:637) at org.apache.commons.lang3.time.fastdateparser.getstrategy(fastdateparser.java:606) at org.apache.commons.lang3.time.fastdateparser.access$100(fastdateparser.java:73) at org.apache.commons.lang3.time.fastdateparser$strategyparser.letterpattern(fastdateparser.java:234) at org.apache.commons.lang3.time.fastdateparser$strategyparser.getnextstrategy(fastdateparser.java:220) at org.apache.commons.lang3.time.fastdateparser.init(fastdateparser.java:167) at org.apache.commons.lang3.time.fastdateparser.<init>(fastdateparser.java:153) at org.apache.commons.lang3.time.fastdateformat.<init>(fastdateformat.java:394) at org.apache.commons.lang3.time.fastdateformat.<init>(fastdateformat.java:378) at org.apache.commons.lang3.time.fastdateformat$1.createinstance(fastdateformat.java:100) at org.apache.commons.lang3.time.fastdateformat$1.createinstance(fastdateformat.java:97) at org.apache.commons.lang3.time.formatcache.getinstance(formatcache.java:81) at org.apache.commons.lang3.time.fastdateformat.getinstance(fastdateformat.java:128){code} "
138,138,"3 0.20382076134288524, 0 0.19497120382076133, 4 0.15170670037926673, 2 0.14285714285714285, 6 0.13499086950414385, 5 0.10745891276864726, 1 0.0641944093271527","{{randomstringutils.random()}} can overflow and return characters that are outside the range specified by the {{start}} and {{end}} parameters. this is because it casts a random integer in the range {{[start,end)}} to a character, without checking if this will overflow.example failing test case:{code}@testpublic void testcharoverflow() throws exception { int start = 65535; int end = integer.max_value; @suppresswarnings(""serial"") random fixedrandom = new random() { @override public int nextint(int n) { // prevents selection of start as the character return 1; } }; string result = randomstringutils.random(1, start, end, false, false, null, fixedrandom); char c = result.charat(0); asserttrue(c >= start && c < end);}{code} "
139,139,"2 0.1645962732919255, 4 0.1645962732919255, 3 0.16338854382332646, 0 0.15251897860593513, 6 0.13440303657694963, 1 0.12111801242236024, 5 0.09937888198757762","{quote}i faced that the random method can cause an infinite loop. it can be caused if the end parameter is too low for generating either numbers (< 48) or letters (<65). i added some exception tests to make the cases clear. basically, if we call the random function with for example numbers = true && end < 48 the validation for character.isdigit(ch) will fail and we increment count count++.{quote}ivan morozov https://github.com/apache/commons-lang/pull/211 "
140,140,"1 0.2813569872393403, 0 0.17351384998443828, 2 0.13538748832866482, 6 0.12994086523498288, 3 0.12013694366635544, 4 0.08745720510426393, 5 0.07220666044195459","running following line of code results in stringindexoutofboundsexception (in 3.5 release){code}wordutils.wrap(""aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa"",70);{code}{code}java.lang.stringindexoutofboundsexception: string index out of range: -1 at java.lang.string.substring(string.java:1967) at org.apache.commons.lang3.text.wordutils.wrap(wordutils.java:328) at org.apache.commons.lang3.text.wordutils.wrap(wordutils.java:176) at org.apache.commons.lang3.text.wordutils.wrap(wordutils.java:100) at pl.netpr.commons.string.texttoolstest.testwrap(texttoolstest.java:245) {code}it worked fine with 3.4 releae. "
141,141,"0 0.2343666773196975, 1 0.2231809949930756, 4 0.1747097049110472, 6 0.10535847448599125, 3 0.10162991371045062, 2 0.08746138276339617, 5 0.07329285181634172","since release 3.5 and due to the changes of lang-1115 an arraystoreexception occurs on methodutils.invokemethod if using varargs arguments and smaller types than the method defines (e.g. int vs long).{code} @test public void testmethodutilsinvokemethodvarargs () throws exception { myobject object = new myobject (); methodutils.invokemethod (object, ""dosomething"", 1); } public static class myobject { public void dosomething (long... args) { system.out.println (""dosomething""); } }{code}throws {code}java.lang.arraystoreexception at java.lang.system.arraycopy(native method) at org.apache.commons.lang3.reflect.methodutils.getvarargs(methodutils.java:497) at org.apache.commons.lang3.reflect.methodutils.tovarargs(methodutils.java:463) at org.apache.commons.lang3.reflect.methodutils.invokemethod(methodutils.java:234) at org.apache.commons.lang3.reflect.methodutils.invokemethod(methodutils.java:270) at org.apache.commons.lang3.reflect.methodutils.invokemethod(methodutils.java:147){code}in 3.4. a nosuchmethodexception had been thrown, but in 3.5 the code now finds the matching method but fails then with above exception. "
