,Document_No,Topics,Text
4565,4565,"5 0.2701014832162373, 6 0.1316679677335415, 0 0.12802498048399688, 1 0.11891751236013533, 2 0.117096018735363, 3 0.117096018735363, 4 0.117096018735363",fastdateformat apis that use a stringbuilderapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4566,4566,"3 0.19274376417233557, 0 0.16099773242630386, 5 0.14512471655328796, 2 0.14336104812295286, 6 0.1292517006802721, 1 0.11514235323759135, 4 0.11337868480725626",use validateistrue to validate argumentsreplaced private integer constants with private static enum.add final modifier to local variables.
4567,4567,"4 0.18756613756613752, 3 0.18201058201058198, 2 0.1357142857142857, 6 0.13201058201058197, 1 0.12460317460317462, 0 0.11904761904761907, 5 0.11904761904761907",sort members.add final modifier to local variables.use index_not_found instead of magic number.
4568,4568,"5 0.282010582010582, 6 0.12275132275132276, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4569,4569,"6 0.21269841269841264, 3 0.13795093795093796, 0 0.12987012987012989, 1 0.12987012987012989, 2 0.12987012987012989, 4 0.12987012987012989, 5 0.12987012987012989",removes redundant + signpmd: remove useless parentheses
4570,4570,"5 0.2764550264550264, 6 0.12460317460317459, 1 0.12275132275132275, 0 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4571,4571,"2 0.18697874630078015, 3 0.1850955071294054, 0 0.13048157115953726, 4 0.12671509281678775, 1 0.12483185364541298, 5 0.12483185364541298, 6 0.12106537530266345",add final modifier to local variables. addgetandincrement/getanddecrement/getandadd/incrementandget/decrementandget/addandgetin mutable* classes
4572,4572,"2 0.18783068783068776, 4 0.1384479717813051, 5 0.1384479717813051, 0 0.13639035861258084, 1 0.13433274544385657, 3 0.1322751322751323, 6 0.1322751322751323", addgetandincrement/getanddecrement/getandadd/incrementandget/decrementandget/addandgetin mutable* classes
4573,4573,"2 0.24384236453201968, 6 0.1346469622331691, 1 0.12889983579638753, 0 0.12315270935960593, 3 0.12315270935960593, 4 0.12315270935960593, 5 0.12315270935960593",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.
4574,4574,"6 0.3098901098901099, 5 0.12014652014652015, 0 0.11843711843711843, 4 0.11501831501831504, 1 0.11330891330891332, 2 0.11330891330891332, 3 0.1098901098901099",make sure lines in files dont have trailing white spaces and remove all trailing white spacesmake use of existing timeunit class to manage time units.
4575,4575,"5 0.27460317460317457, 6 0.13015873015873014, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4576,4576,"0 0.32292200034135515, 4 0.18911076975593105, 3 0.12578938385389996, 6 0.09592080559822494, 1 0.09472606246799793, 2 0.08755760368663593, 5 0.08397337429595496"," enumutils *bitvector issue with more than 32 values enumthis add final modifier to local variables.[] permit bitvector generation for enums with > 64 values; plus some test correctionsremove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)require values parameter when generating bit vectors from enums, throwing nullpointerexception if omitted; merge check for type eligibility; add e... generatebitvector() variant; alter generatebitvector(class<e>, enumset<e>) to (class<e>, iterable<e>) by using |= << instead of + to accumulate values; process only specified values"
4577,4577,"5 0.27460317460317457, 6 0.1283068783068783, 1 0.12089947089947091, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4578,4578,"4 0.4434398231866586, 0 0.09885473176612415, 6 0.0932288527225236, 1 0.09182238296162347, 2 0.09182238296162347, 3 0.09041591320072333, 5 0.09041591320072333","sort members.moving the charsequence specific methods out of stringutils and reintroducing the charsequenceutils classreplacing some of the older code. when performing a mutation operation (even if its on an immutable by returning a new instance), string should go in and string should come out. when performing a non-mutation operation, charsequence should be passed in. 687moving indexof(string, string) and indexof(string, string, int) over to charsequence. 687"
4579,4579,"2 0.15966386554621845, 0 0.1400560224089636, 1 0.1400560224089636, 3 0.1400560224089636, 4 0.1400560224089636, 5 0.1400560224089636, 6 0.1400560224089636",reuse
4580,4580,"4 0.34807256235827666, 0 0.11791383219954646, 2 0.1147392290249433, 3 0.10997732426303855, 1 0.10362811791383221, 6 0.10362811791383221, 5 0.10204081632653063","replacing some of the older code. when performing a mutation operation (even if its on an immutable by returning a new instance), string should go in and string should come out. when performing a non-mutation operation, charsequence should be passed in. 687checkstylemoving lastindexof, contains, containswhitespace, indexofany, containsany, indexofanybut, containsonly, containsnone and substring over to using charsequences for parameters. 687"
4581,4581,"6 0.28904249871991805, 5 0.1349206349206349, 0 0.1152073732718894, 1 0.1152073732718894, 2 0.1152073732718894, 3 0.1152073732718894, 4 0.1152073732718894",: fastdateformat support of the week-year component (uppercase y): fastdateformat support of the week-year component (uppercase y)
4582,4582,"6 0.3201465201465202, 5 0.13040293040293038, 0 0.1098901098901099, 1 0.1098901098901099, 2 0.1098901098901099, 3 0.1098901098901099, 4 0.1098901098901099",: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)
4583,4583,"5 0.2883164194639604, 4 0.12256049960967993, 0 0.11891751236013531, 6 0.11891751236013531, 1 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
4584,4584,"5 0.2573510278428311, 6 0.14259692948217537, 0 0.12438199323445227, 1 0.12438199323445227, 2 0.11709601873536302, 3 0.11709601873536302, 4 0.11709601873536302",4fastdateformat apis that use a stringbuilderapplying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4585,4585,"1 0.7146875627888286, 5 0.05153707052441231, 2 0.049427365883062076, 3 0.04802089612216194, 0 0.04591119148081175, 4 0.04520795660036168, 6 0.04520795660036168",: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
4586,4586,"3 0.19211822660098518, 0 0.17487684729064035, 2 0.13656267104542966, 1 0.126984126984127, 4 0.12315270935960593, 5 0.12315270935960593, 6 0.12315270935960593",add final modifier to local variables.convert to java 5 enhanced loops. 
4587,4587,"5 0.282010582010582, 6 0.12275132275132276, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4588,4588,"5 0.28695436507936506, 6 0.12896825396825393, 2 0.12375992063492063, 1 0.11855158730158732, 4 0.11855158730158732, 0 0.11160714285714288, 3 0.11160714285714288",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. checkstyle and trailing spaces.
4589,4589,"3 0.2066378066378066, 2 0.13997113997114, 1 0.1339105339105339, 0 0.12987012987012986, 4 0.12987012987012986, 5 0.12987012987012986, 6 0.12987012987012986",add final modifier to local variables.
4590,4590,"0 0.17857142857142858, 3 0.17366946778711484, 2 0.16549953314659197, 1 0.15569561157796452, 5 0.11484593837535015, 4 0.10667600373482729, 6 0.10504201680672272",: update java requirement from java 6 to 7replace usage of deprecated objectutilsequals with objectsequalsadd final modifier to local variables.adding hennings github pull request with a triple implementation. 675
4591,4591,"6 0.15659340659340654, 3 0.1459096459096459, 2 0.14377289377289376, 1 0.14163614163614163, 0 0.13736263736263735, 4 0.13736263736263735, 5 0.13736263736263735",add stringmatchertostring(); useful from a debugger.
4592,4592,"2 0.16825396825396824, 3 0.16219336219336214, 4 0.14401154401154398, 1 0.13391053391053392, 0 0.13189033189033192, 5 0.12987012987012989, 6 0.12987012987012989",add final modifier to method parameters.
4593,4593,"5 0.27460317460317457, 6 0.13015873015873017, 0 0.11904761904761905, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4594,4594,"6 0.33543417366946776, 5 0.13608776844070958, 0 0.10830999066293184, 1 0.10504201680672269, 2 0.10504201680672269, 3 0.10504201680672269, 4 0.10504201680672269",: fastdateformat support of the week-year component (uppercase y)revert while investigating travis failures: fastdateformat support of the week-year component (uppercase y)fastdateformat apis that use a stringbuilder
4595,4595,"3 0.20634920634920628, 0 0.1322751322751323, 1 0.1322751322751323, 2 0.1322751322751323, 4 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",fixing crlfsstatement unnecessarily nested within else clause.
4596,4596,"5 0.15363881401617246, 6 0.15363881401617246, 2 0.14525306978137167, 1 0.14315663372267148, 0 0.1347708894878706, 3 0.1347708894878706, 4 0.1347708894878706",checkstyle and trailing spaces.
4597,4597,"3 0.19855699855699852, 2 0.14401154401154398, 1 0.13795093795093796, 0 0.12987012987012989, 4 0.12987012987012989, 5 0.12987012987012989, 6 0.12987012987012989",add final modifier to local variables.
4598,4598,"5 0.2883164194639604, 4 0.12438199323445225, 1 0.11891751236013531, 0 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299, 6 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
4599,4599,"3 0.22954822954822957, 2 0.16630036630036626, 4 0.14065934065934063, 0 0.12356532356532354, 1 0.12014652014652016, 5 0.1098901098901099, 6 0.1098901098901099",: strbuilderreplaceall arrayindexoutofboundsexception ()avoid arrayindexoutofboundsexception by keeping variable buf consistent with buffer in strbuilderreplaceimpl.add final modifier to local variables.add final modifier to method parameters.
4600,4600,"0 0.17487684729064037, 2 0.16338259441707717, 4 0.14805692391899286, 6 0.14039408866995073, 1 0.12698412698412703, 3 0.12315270935960596, 5 0.12315270935960596",: new methods for lang3.validate ()fixed method names; fixed differentobject to use object.equals
4601,4601,"1 0.694809621189989, 3 0.07176940305774658, 2 0.05200116856558574, 0 0.045866199240432365, 4 0.045866199240432365, 5 0.045866199240432365, 6 0.04382120946538124",add final modifier to local variables.: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
4602,4602,"0 0.15363881401617246, 6 0.15154237795747225, 4 0.1473495058400719, 5 0.13896376160527107, 3 0.13896376160527105, 1 0.1347708894878706, 2 0.1347708894878706",[] prefer throwable.getcause() in exceptionutils.getcause() ()
4603,4603,"6 0.2397094430992736, 3 0.1380145278450363, 4 0.1380145278450363, 0 0.12106537530266347, 1 0.12106537530266347, 2 0.12106537530266347, 5 0.12106537530266347",refactor exceptioncontext and derived. context contract stipulates a sequence of label-value entries with support for multiple entries for the same label.
4604,4604,"2 0.22638563622170174, 3 0.1808482956023939, 4 0.12438199323445226, 0 0.117096018735363, 1 0.117096018735363, 5 0.117096018735363, 6 0.117096018735363",crlf -> lfjavadoc: fix typo but working is still awkward.add final modifier to local variables.
4605,4605,"4 0.26719576719576715, 6 0.13571428571428568, 0 0.12089947089947091, 1 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 5 0.11904761904761905",remove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)
4606,4606,"5 0.27460317460317457, 6 0.1283068783068783, 1 0.12089947089947091, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4607,4607,"6 0.2908346134152585, 0 0.13133640552995385, 2 0.1169994879672299, 1 0.1152073732718894, 3 0.1152073732718894, 4 0.1152073732718894, 5 0.1152073732718894",make sure lines in files dont have trailing white spaces and remove all trailing white spaces[] immutabletriple.nulltriple()
4608,4608,"4 0.28737266050698884, 0 0.13148542999289264, 1 0.1298270552001895, 6 0.12153518123667373, 2 0.11656005685856431, 3 0.10660980810234542, 5 0.10660980810234542",[github] commons-lang pull request : intellij idea refactorings..remove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)
4609,4609,"0 0.25570436507936506, 2 0.1498015873015873, 3 0.13244047619047616, 1 0.12375992063492063, 4 0.11334325396825398, 6 0.11334325396825398, 5 0.11160714285714288",code clean-up for checkstyle.simplify expressions again.document exceptions. use illegalargumentexception instead of assert. throw illegalargumentexception for empty arrays.: add conversion utility to convert between data types on byte level
4610,4610,"4 0.21377368151561701, 2 0.15104966717869941, 3 0.1420890937019969, 0 0.1295442908346134, 1 0.12775217613927292, 5 0.11879160266257044, 6 0.11699948796722993","sort members.: add stringutilsisallempty and isallblank methodsapplying alexander muthmanns patch from , adding isblank/isempty charsequence... variants"
4611,4611,"2 0.18769145084934555, 1 0.1662489557226399, 5 0.13895850737955998, 3 0.1292119186856029, 4 0.1272626009468115, 0 0.12531328320802007, 6 0.12531328320802007",adding hennings github pull request with a triple implementation. 675
4612,4612,"1 0.7132810930279285, 2 0.050833835643962225, 3 0.050130600763512154, 5 0.048020896122161955, 4 0.047317661241711884, 0 0.04520795660036168, 6 0.04520795660036168",: add a circuit breaker implementation ()squashed commit of the following:commit 1b12db706b457408562a166c21bc6470a8064620merge: edebd97 def7832author: oliver heger <oliver.heger@oliver-heger.de>date: wed jun 10 21:27:17 2015 +0200 merge pull request from kinow/patch1 this commit:commit def78320c5efcb734572c5b48623a952e3c94c75author: bruno p. kinoshita <brunodepaulak@yahoo.com.br>date: wed jun 10 22:57:33 2015 +1200 this commit: * fixes javadocs warnings in checkstyle * adds license headers * renames the memorycircuitbreaker to thresholdcircuitbreaker * adds more tests to have a good coveragecommit edebd970582ce2984258352c8482bcb51587f7d2author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 22:11:11 2015 +0200 documentation updates for eventcountcircuitbreaker.commit 3d8a4ff85a78173dd8f5437d9b4d931069128e20author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:55:02 2015 +0200 renamed timedcircuitbreaker to eventcountcircuitbreaker. this name seems to be more appropriate as the main property of this circuit breaker implementation is that it counts specific events and changes its state when a certain threshold is reached.commit 0e4ce5a984ef699ddace61bbf430d695b011c6b5author: oheger <oliver.heger@oliver-heger.de>date: tue jun 9 21:51:22 2015 +0200 added documentation for circuitbreaker interface.commit 0e6b22190ef1868655fec9b3814a2345ad206f76author: oheger <oliver.heger@oliver-heger.de>date: mon jun 8 22:27:05 2015 +0200 initial import of circuitbreaker classes.
4613,4613,"3 0.18783068783068776, 5 0.1466784244562022, 6 0.13639035861258084, 0 0.1322751322751323, 1 0.1322751322751323, 2 0.1322751322751323, 4 0.1322751322751323",: fastdateformat doesnt respect summer daylight in some localized strings
4614,4614,"2 0.2097883597883598, 3 0.14867724867724866, 0 0.13941798941798939, 6 0.13386243386243385, 4 0.1264550264550265, 1 0.12275132275132278, 5 0.11904761904761908",: please add number to byte[] methods. suggested by lilianne e. blaze. final patch from vincent ricard (with thanks to henri yandell).
4615,4615,"3 0.3583099906629318, 2 0.111577964519141, 4 0.10830999066293186, 6 0.10667600373482727, 0 0.1050420168067227, 1 0.1050420168067227, 5 0.1050420168067227","format.refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
4616,4616,"6 0.2790807865434731, 3 0.17128642501776828, 2 0.12319355602937693, 0 0.10660980810234544, 1 0.10660980810234544, 4 0.10660980810234544, 5 0.10660980810234544",make sure lines in files dont have trailing white spaces and remove all trailing white spacesuse validateistrue to validate argumentsadd final modifier to local variables.
4617,4617,"5 0.291959406713505, 4 0.12073900598490762, 1 0.11891751236013531, 0 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299, 6 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
4618,4618,"2 0.20718462823725975, 4 0.15065441381230854, 3 0.13505987190197716, 1 0.1311612364243943, 0 0.12531328320802007, 5 0.12531328320802007, 6 0.12531328320802007",: added get methods to arrayutils: added shuffle methods to arrayutils
4619,4619,"2 0.1708994708994709, 6 0.15238095238095237, 0 0.14126984126984124, 5 0.14126984126984124, 4 0.13941798941798939, 1 0.13015873015873017, 3 0.12460317460317463",: add bypass option for classes to recursive and reflective equalsbuilderpatch supplied by yathos ug: recursive and reflective equalsbuilder ()patch by yathos ug
4620,4620,"6 0.20798319327731093, 2 0.1965452847805789, 4 0.12955182072829133, 0 0.12301587301587301, 1 0.12138188608776843, 3 0.11647992530345473, 5 0.10504201680672272",use final.remove trailing white spacesadded new vararg methods to insert values into an array at an index.this implements . this commit also deprecates the add() methodsthat inserted a single value into an array at an index.
4621,4621,"2 0.2326462923477849, 6 0.15138592750533045, 0 0.14475242833451785, 1 0.12153518123667374, 3 0.12153518123667374, 4 0.12153518123667374, 5 0.10660980810234542","revert ""simplify, less clutter.""this reverts commit 18f5f54ca0e78df12586e0750e257058746a5a39.simplify, less clutter.ws[] removed unnecessary elses and use of ternary operator with primitive boolean consequences e.g. (some boolean expression) ? true : false"
4622,4622,"4 0.17582417582417575, 0 0.13736263736263737, 1 0.13736263736263737, 2 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",sort members.
4623,4623,"2 0.2300286234712464, 0 0.1498829039812646, 4 0.1498829039812646, 1 0.11891751236013534, 3 0.117096018735363, 5 0.117096018735363, 6 0.117096018735363",: fix logic in isjsonarray method of jsontostringstyleextract logic for checking string representation of objects into separate methods
4624,4624,"5 0.2846734322144158, 0 0.12073900598490765, 1 0.12073900598490765, 4 0.12073900598490765, 6 0.11891751236013534, 2 0.11709601873536302, 3 0.11709601873536302",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
4625,4625,"2 0.15659340659340656, 6 0.15659340659340656, 0 0.13736263736263737, 1 0.13736263736263737, 3 0.13736263736263737, 4 0.13736263736263737, 5 0.13736263736263737",the the patrol.validation
4626,4626,"2 0.3064182194616978, 3 0.13250517598343686, 1 0.11801242236024846, 4 0.11801242236024843, 5 0.1164021164021164, 6 0.10512997469519211, 0 0.10351966873706007",make whitespace use after tokens consistent and add a checkstyle rule to enforce it.add final modifier to method parameters.: add jsontostringstyle implementation to tostringstyle. this fixes and from github. thanks to thiago andrade.
4627,4627,"6 0.2800819252432155, 5 0.14388120839733737, 0 0.1152073732718894, 1 0.1152073732718894, 2 0.1152073732718894, 3 0.1152073732718894, 4 0.1152073732718894",: fastdateformat support of the week-year component (uppercase y): fastdateformat support of the week-year component (uppercase y)
4628,4628,"0 0.1791383219954648, 4 0.15136054421768702, 2 0.14739229024943307, 1 0.13350340136054423, 3 0.13151927437641722, 6 0.12953514739229025, 5 0.12755102040816327","add hashcode and tostring methods to annotationutils, plus tests"
4629,4629,"2 0.2701014832162373, 4 0.1353109549830861, 3 0.12438199323445226, 0 0.11891751236013533, 1 0.117096018735363, 5 0.117096018735363, 6 0.117096018735363","crlf -> lfjavadoc: fix typo but working is still awkward.[] add arrayutils.reverse(array, from, to) methods."
4630,4630,"2 0.23313492063492064, 0 0.15848214285714285, 6 0.13244047619047616, 3 0.13070436507936506, 1 0.12202380952380955, 4 0.11160714285714288, 5 0.11160714285714288","- fix () systemutils.getjavaversionasfloat throws stringindexoutofboundsexception on android runtime/dalvik vm- refactor for unit testing.- remove odd test code which is copy and pasted from systemutils, which therefore does not test anything."
4631,4631,"5 0.2783068783068783, 6 0.1246031746031746, 1 0.12089947089947091, 0 0.11904761904761905, 2 0.11904761904761905, 3 0.11904761904761905, 4 0.11904761904761905",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4632,4632,"5 0.2764550264550264, 6 0.12645502645502643, 1 0.1208994708994709, 0 0.11904761904761904, 2 0.11904761904761904, 3 0.11904761904761904, 4 0.11904761904761904",applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4633,4633,"3 0.18445539135194305, 0 0.1538040503557745, 2 0.15188834154351394, 4 0.1403940886699507, 1 0.12315270935960594, 5 0.12315270935960594, 6 0.12315270935960594",rewrite to avoid (im)possible npe warningadd final modifier to local variables.
4634,4634,"0 0.17863441672965483, 3 0.17510707986898463, 4 0.16276140085663895, 6 0.1327790375409423, 2 0.11866969009826156, 5 0.11866969009826156, 1 0.11337868480725626",removes unnecessary class reference of static method calls which are declared in the same classadd final modifier to local variables.
4635,4635,"5 0.38926681783824646, 0 0.11810279667422523, 1 0.10884353741496597, 2 0.10487528344671199, 4 0.09693877551020408, 3 0.09693877551020405, 6 0.0850340136054422","applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . change calendar.getinstance to new gregoriancalendarrefactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. applying my fix to , and mikaels test case; fixing the fastdateformat to properly include the locale when formatting a date"
4636,4636,"0 0.1651969429747207, 2 0.1651969429747207, 4 0.14050558495002943, 1 0.1322751322751323, 3 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: new methods for lang3.validatethis from github.
4637,4637,"0 0.28314659197012143, 4 0.13772175536881417, 1 0.12138188608776844, 6 0.11974789915966387, 2 0.11811391223155929, 3 0.11484593837535016, 5 0.10504201680672273",": update java requirement from java 6 to 7replace usage of deprecated objectutilstostring with objectstostring: fix deprecation warningseat own dog food: separator == null ? """" : separator->objectutils.tostring(separator)remove superfluous parens."
4638,4638,"2 0.2300286234712464, 3 0.1772053083528493, 1 0.12073900598490765, 4 0.12073900598490765, 0 0.117096018735363, 5 0.117096018735363, 6 0.117096018735363",crlf -> lfjavadoc: fix typo but working is still awkward.add final modifier to local variables.
4639,4639,"5 0.291509196271101, 2 0.12925170068027209, 6 0.11866969009826152, 0 0.11690602166792645, 4 0.11690602166792645, 1 0.11337868480725624, 3 0.11337868480725624", and simplify fastdateformat; eliminate boxingrefactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
4640,4640,"5 0.2883164194639604, 4 0.12256049960967993, 0 0.11891751236013531, 1 0.11891751236013531, 2 0.11709601873536299, 3 0.11709601873536299, 6 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
4641,4641,"4 0.30344258915687494, 6 0.14471243042671614, 2 0.14182642754071326, 0 0.1201814058956916, 3 0.09997938569367143, 1 0.0956503813646671, 5 0.09420737992166565",remove superfluous parens like:return (foo + 1);int len = (foo + 1);if ((foo + 1 > 2))((string) foo)[] add mode and median comparable... methods to objectutilscheckstyle and trailing spaces. simplify compare() method - thanks to julien aymé add a null-safe compare() method to objectutils
4642,4642,"2 0.18783068783068776, 0 0.1384479717813051, 4 0.1384479717813051, 5 0.1384479717813051, 1 0.1322751322751323, 3 0.1322751322751323, 6 0.1322751322751323", addgetandincrement/getanddecrement/getandadd/incrementandget/decrementandget/addandgetin mutable* classes
4643,4643,"4 0.17368742368742363, 2 0.13949938949938953, 0 0.13736263736263737, 1 0.13736263736263737, 3 0.13736263736263737, 5 0.13736263736263737, 6 0.13736263736263737",[] new type util features
4644,4644,"2 0.1878306878306878, 4 0.14462081128747797, 3 0.13639035861258086, 0 0.13433274544385657, 1 0.1322751322751323, 5 0.1322751322751323, 6 0.1322751322751323",: added shuffle methods to arrayutils
4645,4645,"0 0.1662337662337662, 2 0.15209235209235206, 4 0.14805194805194802, 3 0.13593073593073596, 5 0.13593073593073596, 1 0.1318903318903319, 6 0.12987012987012989",: add a reflection-based variant of diffbuilder
4646,4646,"5 0.2883164194639604, 0 0.12256049960967991, 4 0.12073900598490762, 1 0.11709601873536299, 2 0.11709601873536299, 3 0.11709601873536299, 6 0.11709601873536299",refactoring fastdateformat per to use the formatcache class created for an upcoming dateparser functionality. ive kept formatcache package-private for now. 
4647,4647,"5 0.28673178673178673, 0 0.21978021978021978, 6 0.12718762718762716, 1 0.09157509157509158, 2 0.09157509157509158, 3 0.09157509157509158, 4 0.09157509157509158",dont save short eras if they are the same as the long eras fastdateparser does not handle non-gregorian calendars properlyuse calendargetdisplaynames() instead of dateformatsymbolsgeteras()getinstance() (java 1.6) supports more localesexplicit conversion to integer; save the value for use latergetinstance(locale) is java 1.6+applying chas hontons implementation of dateparser and subsequent integration into fastdateformat and the time package. see . 
4648,4648,"3 0.38862724577010294, 6 0.20303506017791728, 2 0.08948194662480376, 5 0.08337694051979766, 0 0.07849293563579278, 1 0.07849293563579278, 4 0.07849293563579278","make sure lines in files dont have trailing white spaces and remove all trailing white spacesadd final modifier to local variables.: fastdateformat doesnt respect summer daylight in some localized stringsrefactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display namesuse final consistently. tab policeremove keyvalues map per sebbs suggestion"
4649,4649,"3 0.40073929115025, 2 0.10697977821265492, 4 0.09936942813655142, 6 0.09936942813655142, 0 0.09784735812133072, 1 0.09784735812133072, 5 0.09784735812133072","add final modifier to local variables.format.refactor fastdateparseruse hashmap for performance break down regular expressions to per-format, allowingparseposition to get set add parse with calendar input, allowing client to set leniencyand/or replace display names"
